OPEID,School Name,Risk Factor,Borrowing Risk,ELIGIND,CERTCD,T & C,Ethnic Class,% Completions Any School,% Completions Same School,% Independent Borrower Count,% Dependent Borrower Count,Median Independent Student AGI,% Independent Borrowers with AGI < $30K,Median Dependent Parent AGI,% Dependent Borrowers with AGI < $30K,% Borrowers with a Pell Grant,% Borrowers without a Pell Grant,Median Age of Dependent Borrowers at Maturity,Median Age of Independent Borrowers at Maturity,Mean Balance,Median Balance,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,Overall Outstanding Principal Balance at Time Entering Repayment (FY 2009),Overall Borrower Count,Overall Outstanding Principal Balance 5 YR Cohort (FY 2014),Overall Outstanding Principal Balance 4 YR Cohort (FY 2013),Overall Outstanding Principal Balance 3 YR Cohort (FY 2012),Overall Outstanding Principal Balance 2 YR Cohort (FY 2011),Overall Outstanding Principal Balance 1 YR Cohort (FY 2010),Overall Repayment Rate 5 YR Cohort (FY 2014),Overall Repayment Rate 4 YR Cohort (FY 2013),Overall Repayment Rate 3 YR Cohort (FY 2012),Overall Repayment Rate 2 YR Cohort (FY 2011),Overall Repayment Rate 1 YR Cohort (FY 2010),% Increased Balance Borrowers 2013-2014,% Increased Balance Borrowers 2012-2013,% Increased Balance Borrowers 2011-2012,% Increased Balance Borrowers 2010-2011,% Increased Balance Borrowers 2009-2010,Defaulted Balance 2013-14,Defaulted Balance 2012-13,Defaulted Balance 2011-12,Defaulted Balance 2010-11,Defaulted Balance 2009-10,In School Military Balance 2013-14,In School Military Balance 2012-13,In School Military Balance 2011-12,In School Military Balance 2010-11,In School Military Balance 2009-10,Death Disability Balance 2013-14,Death Disability Balance 2012-13,Death Disability Balance 2011-12,Death Disability Balance 2010-11,Death Disability Balance 2009-10,% Deferment or Forbearance More than 2 Months 2013-2014,% Deferment or Forbearance More than 2 Months 2012-2013,% Deferment or Forbearance More than 2 Months 2011-2012,% Deferment or Forbearance More than 2 Months 2010-2011,% Deferment or Forbearance More than 2 Months 2009-2010,Overall Borrowers with More than $1 Paid 2013-2014,Overall Median Borrower's Volume Repayment % 2013-2014,Overall Mean Borrower's Volume Repayment % 2013-2014,Overall Dollars Under 14% 2013-2014,Overall Dollars Under 21% 2013-2014
00101600,UNIVERSITY OF NORTH ALABAMA,0.5625,Moderate Risk,Y,P,Public 4 Yrs or More,5.00,0.53,0.42,0.52,0.48,21098.00,0.63,56103.00,0.25,0.66,0.34,23.00,30.00,22642.92,17393.50,3500.00,6214.00,9356.00,13486.00,17423.00,21157.00,26617.00,35927.00,48209.00,185948.00,16897912.51,1229.00,12673588.90,12854796.48,13779009.09,15163537.95,15628855.74,0.25,0.23,0.18,0.10,0.08,0.24,0.27,0.34,0.35,0.41,1791226.22,1881726.05,1812972.95,1558005.22,1078023.41,1008601.02,1215157.53,1845771.04,2152526.30,3170119.30,52312.00,121589.00,114399.00,55136.00,147920.00,0.04,0.05,0.06,0.06,0.10,828.00,0.15,0.27,1842913.39,2439763.44
00101900,HUNTINGDON COLLEGE,0.5625,Moderate Risk,Y,C,PNP 4 Yrs or More,5.00,0.56,0.46,0.39,0.61,21811.50,0.64,49707.00,0.27,0.63,0.37,23.00,29.00,21561.50,18377.50,4073.00,7279.00,12855.00,15843.00,18521.00,22544.00,26514.00,33267.00,42112.00,89233.00,3271063.67,246.00,2621884.73,2695730.44,2748728.33,2973991.91,3015156.28,0.20,0.17,0.16,0.09,0.08,0.26,0.28,0.32,0.34,0.42,418562.87,406714.73,320533.00,308600.00,295626.00,351921.13,351731.62,527021.11,422445.40,527748.81,1629.00,2560.00,947.00,1347.00,1602.00,0.00,0.05,0.00,0.05,0.08,146.00,0.06,0.22,466359.74,602612.59
00102000,JACKSONVILLE STATE UNIVERSITY,0.5,Less Risk,Y,C,Public 4 Yrs or More,5.00,0.40,0.31,0.58,0.42,23325.00,0.58,43072.00,0.38,0.69,0.31,22.00,30.00,27443.09,17839.00,3600.00,6500.00,9448.00,13120.00,17850.00,22964.00,31086.00,43623.00,62091.00,205442.00,33458005.41,2111.00,30676776.69,30840268.00,30978352.45,32518141.88,32622576.32,0.08,0.08,0.07,0.03,0.02,0.40,0.42,0.47,0.49,0.59,3532675.32,3087231.38,2969962.46,2627398.55,1821063.00,2835184.92,2560738.53,4238053.83,5192083.99,6383520.79,163160.95,109351.00,93255.00,59639.00,132748.00,0.08,0.09,0.09,0.10,0.10,1043.00,-0.02,0.11,6668415.77,8294047.45
00102200,JEFFERSON STATE COMMUNITY COLLEGE,0.5,Less Risk,Y,C,Public 2 - 3 Yrs,5.00,0.28,0.19,0.63,0.37,22482.50,0.63,55428.00,0.23,0.69,0.31,22.00,30.50,9461.61,5704.00,1626.00,1825.00,3366.00,4289.00,5705.00,7875.00,10486.00,14276.00,20811.00,118982.00,3685021.33,802.00,2870083.62,2957543.06,3108226.34,3178432.90,3280701.54,0.22,0.20,0.16,0.14,0.11,0.19,0.24,0.36,0.25,0.24,385648.47,390318.54,413366.92,326010.99,237627.00,240709.50,373934.59,412830.43,365853.99,387656.32,3776.00,8595.00,3554.00,5296.00,0.00,0.14,0.22,0.19,0.18,0.19,494.00,0.10,0.24,425405.20,572775.35
00102300,JUDSON COLLEGE,0.5,Less Risk,Y,C,PNP 4 Yrs or More,5.00,0.37,0.19,0.34,0.66,26504.50,0.53,44567.00,0.33,0.71,0.29,22.00,27.50,18280.99,13806.00,2805.00,5929.00,9094.00,11835.00,13911.00,17655.00,20720.00,27162.00,37062.00,114304.00,909280.00,93.00,659016.06,675405.47,709637.22,750332.98,823771.42,0.28,0.26,0.22,0.17,0.09,0.30,0.30,0.37,0.30,0.27,86046.06,78643.06,96868.00,59182.00,15246.00,23670.79,50088.79,154550.79,265368.02,254787.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,0.14,0.29,94760.15,127330.00
00102400,UNIVERSITY OF WEST ALABAMA,0.5,Less Risk,Y,P,Public 4 Yrs or More,5.00,0.46,0.14,0.81,0.19,32596.00,0.43,37243.00,0.46,0.54,0.46,23.00,32.00,42206.19,29986.00,6345.00,11701.00,16744.00,22440.00,29979.00,39091.00,49709.00,68534.00,96505.00,260728.00,28546679.97,1409.00,24443340.66,24721834.15,25106493.33,26851079.07,27069206.03,0.14,0.13,0.12,0.06,0.05,0.35,0.41,0.45,0.46,0.52,3296161.06,2950014.41,2332026.91,1981747.74,1462977.00,2081210.44,2450499.64,4032857.80,4781338.46,5044646.28,105439.00,116221.00,47928.00,49354.00,48054.00,0.05,0.07,0.07,0.07,0.08,781.00,0.00,0.14,4571199.55,5822489.67
00102600,MARION MILITARY INSTITUTE,0.8125,Most Risk,Y,P,Public 2 - 3 Yrs,5.00,0.31,0.28,0.15,0.85,1344.00,1.00,55070.50,0.28,0.74,0.26,21.00,23.00,9045.56,5508.00,2625.00,3000.00,3511.00,3762.00,5500.00,6462.00,8995.00,13552.00,20670.00,41788.00,374329.00,80.00,253237.48,261828.72,281081.19,311546.95,343369.00,0.32,0.30,0.25,0.17,0.08,0.21,0.19,0.20,0.33,0.51,67864.26,81322.26,73863.00,65958.00,52072.00,50372.00,52744.00,55503.07,97324.07,103689.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,0.28,0.34,47094.29,59133.03
00102800,MILES COLLEGE,0.3125,Less Risk,Y,C,PNP 4 Yrs or More,2.00,0.06,0.00,0.43,0.57,9414.00,0.90,19707.50,0.69,0.94,0.06,22.00,27.00,19659.12,14948.50,4577.00,7100.00,9440.00,12284.00,14955.00,19158.00,23977.00,30375.00,40879.00,144644.00,7529588.06,757.00,7770407.00,7697720.83,7765775.70,7571652.11,7390636.46,-0.03,-0.02,-0.03,-0.01,0.02,0.27,0.34,0.61,0.47,0.49,2694275.45,2655520.43,2382856.72,1361570.79,970829.12,720174.70,930397.03,855467.00,705998.29,778543.76,15426.00,90235.14,80379.28,0.00,0.00,0.19,0.27,0.24,0.22,0.21,193.00,-0.07,-0.02,1703180.42,2176188.92
00102900,UNIVERSITY OF MOBILE,0.4375,Less Risk,Y,C,PNP 4 Yrs or More,5.00,0.54,0.43,0.69,0.31,21231.00,0.62,57606.00,0.22,0.67,0.33,23.00,34.00,34465.58,27139.00,6603.00,12453.00,17307.00,21805.00,27139.00,35024.00,42636.00,50434.00,65567.00,170484.00,9282275.68,491.00,8871197.83,8853224.35,8933925.80,9159508.72,9135552.86,0.04,0.05,0.04,0.01,0.02,0.43,0.41,0.48,0.49,0.57,773860.59,612401.02,631463.59,456230.00,290782.00,783014.71,699193.26,998886.63,1830361.11,1513773.89,11331.00,6739.00,0.00,0.00,0.00,0.10,0.11,0.10,0.12,0.11,231.00,-0.04,0.08,1973361.27,2452397.62
00103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,0.5625,Moderate Risk,Y,C,Public 2 - 3 Yrs,5.00,0.20,0.13,0.72,0.28,20331.50,0.65,49852.00,0.26,0.81,0.19,21.00,32.00,7482.24,5080.00,1200.00,1750.00,3262.00,3606.00,5080.00,6831.00,8800.00,11367.00,15871.00,58193.00,1470843.00,321.00,1044125.76,1096513.90,1165408.73,1242018.06,1327026.52,0.29,0.25,0.21,0.16,0.10,0.23,0.26,0.30,0.29,0.42,275726.90,295462.90,289784.34,257104.00,159475.00,74809.29,72299.45,120952.45,142293.54,245259.54,1795.00,9854.00,8237.00,0.00,3480.00,0.00,0.06,0.07,0.06,0.06,211.00,0.23,0.34,154873.42,202179.75
00103300,OAKWOOD UNIVERSITY,0.5,Less Risk,Y,C,PNP 4 Yrs or More,2.00,0.27,0.19,0.37,0.63,5713.00,0.87,46438.00,0.36,0.78,0.22,23.00,27.00,26895.96,19668.00,4851.00,8069.00,11641.00,15002.00,19812.00,26461.00,33601.00,41680.00,51946.00,152066.00,7180986.61,443.00,6846054.87,6814149.83,6763717.65,7231505.08,7202256.38,0.05,0.05,0.06,-0.01,0.00,0.42,0.47,0.55,0.56,0.72,1345635.87,1116119.33,1023036.05,720537.00,391769.00,1103466.46,1100009.84,1638148.91,1845159.60,2478079.01,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.11,0.14,0.14,160.00,-0.05,0.04,1408347.93,1796304.70
00103600,SAMFORD UNIVERSITY,0.6875,Most Risk,Y,C,PNP 4 Yrs or More,5.00,0.69,0.53,0.78,0.22,10678.00,0.71,80913.00,0.11,0.26,0.74,23.00,27.00,74921.62,70868.00,12464.00,24363.00,38258.00,55197.00,70868.00,86634.00,105052.00,124620.00,143018.00,245773.00,36135008.07,1369.00,23949721.93,25108732.91,27172673.23,30997110.19,32899365.47,0.34,0.31,0.25,0.14,0.09,0.17,0.19,0.24,0.30,0.26,437295.31,317205.66,303608.33,173437.04,77883.00,944039.01,968819.76,1657426.04,2717075.50,4064194.00,13833.36,50543.00,96399.00,0.00,3208.00,0.03,0.05,0.06,0.08,0.10,985.00,0.32,0.38,4021352.53,5123621.59
00104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,0.625,More Risk,Y,C,Public 2 - 3 Yrs,5.00,0.30,0.23,0.49,0.51,17500.00,0.76,52760.00,0.28,0.73,0.27,22.00,30.00,11691.65,7021.00,1715.00,2922.00,3619.00,5292.00,7125.00,9645.00,13250.00,17870.00,26602.00,146560.00,4199306.43,776.00,3179209.14,3292805.09,3466858.59,3702750.33,3826358.09,0.24,0.22,0.18,0.12,0.09,0.24,0.23,0.31,0.33,0.43,917999.95,915081.81,762808.70,607914.48,402639.74,371662.48,370160.78,567122.70,663873.81,859392.00,0.00,9080.00,12898.05,6051.00,13904.00,0.04,0.05,0.06,0.06,0.07,500.00,0.15,0.27,492294.69,653509.89
00104100,SPRING HILL COLLEGE,0.625,More Risk,Y,P,PNP 4 Yrs or More,5.00,0.54,0.40,0.36,0.64,17865.00,0.69,74894.00,0.23,0.52,0.48,23.00,31.00,30015.16,22537.50,5273.00,10606.00,16190.00,19327.00,22563.00,28214.00,34450.00,44142.00,56650.00,173143.00,5495709.31,352.00,4075756.27,4185702.49,4367696.57,4896043.93,5137685.97,0.26,0.24,0.21,0.11,0.07,0.26,0.27,0.29,0.34,0.41,365603.62,315300.35,377944.60,299471.00,265246.00,445430.25,439790.97,744257.76,1038040.32,1268452.16,18255.00,5404.00,0.00,31904.00,25943.00,0.05,0.07,0.07,0.10,0.12,236.00,0.15,0.27,615902.60,809829.48
00104400,STILLMAN COLLEGE,0.25,Less Risk,Y,P,PNP 4 Yrs or More,2.00,0.27,0.20,0.33,0.67,4269.00,0.89,22806.00,0.67,0.90,0.10,22.00,26.00,25516.91,20079.00,6250.00,9250.00,12250.00,15974.00,20375.00,26477.00,33136.00,40826.00,51136.00,118273.00,5022615.12,346.00,5656971.30,5634457.98,5590917.50,5470193.58,5179757.48,-0.13,-0.12,-0.11,-0.09,-0.03,0.48,0.53,0.71,0.76,0.55,1547517.35,1278352.51,1170198.74,593454.23,278566.00,586754.70,785472.52,890607.74,846586.80,843327.44,0.00,0.00,7508.00,0.00,4522.00,0.06,0.07,0.09,0.08,0.04,72.00,-0.13,-0.12,1503651.31,1828627.18
00104600,TALLADEGA COLLEGE,0.4375,Less Risk,Y,P,PNP 4 Yrs or More,2.00,0.00,0.00,0.29,0.71,0.00,1.00,21737.00,0.65,0.00,0.00,21.00,24.00,19374.15,13485.00,3717.00,6637.00,9708.00,10743.00,14450.00,18375.00,22624.00,25878.00,39440.00,106394.00,748111.00,73.00,811487.40,788527.48,809185.46,770090.48,780776.12,-0.08,-0.05,-0.08,-0.03,-0.04,0.41,0.48,0.52,0.66,0.85,251526.49,219696.44,186343.00,108368.00,79504.00,56946.39,49970.39,133843.03,166299.00,90452.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,-0.11,-0.08,190860.69,239296.46
00104700,TROY UNIVERSITY,0.4375,Less Risk,Y,C,Public 4 Yrs or More,5.00,0.32,0.09,0.84,0.16,26070.00,0.57,40227.50,0.40,0.67,0.33,23.00,32.00,36271.59,26058.00,5203.00,9640.00,14078.00,19329.00,26058.00,34599.00,45534.00,57669.00,79838.00,241925.00,120216261.10,6368.00,107160661.55,106519506.07,108091996.64,115680731.95,115510084.62,0.11,0.11,0.10,0.04,0.04,0.38,0.44,0.50,0.50,0.56,14063769.59,13820352.07,12635044.11,10742416.08,7251833.00,10606858.48,13066512.66,17671010.01,22871137.80,25514471.17,530093.78,755529.26,806425.28,576053.37,314981.00,0.07,0.09,0.09,0.09,0.10,3075.00,-0.02,0.13,21980051.91,27584439.52
00104800,TROY STATE UNIVERSITY DOTHAN,0.5625,Moderate Risk,N,N,Public 4 Yrs or More,5.00,0.00,0.00,0.00,0.00,13000.00,1.00,0.00,0.00,0.00,0.00,0.00,35.00,57697.35,51181.00,18335.00,34338.00,44705.00,49713.00,59452.00,66716.00,80584.00,86515.00,92083.00,106135.00,188645.00,23.00,161473.43,190491.99,190756.41,152291.67,181889.00,0.14,-0.01,-0.01,0.19,0.04,0.52,0.48,1.00,1.00,1.00,20557.73,58580.00,53359.00,33522.00,36647.00,24824.15,2450.00,11502.00,28911.00,34097.00,30964.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.11,25605.01,36601.80
00104900,TROY STATE UNIVERSITY MONTGOMERY,0.625,More Risk,N,N,Public 4 Yrs or More,5.00,0.35,0.00,0.00,0.00,23476.00,0.69,64659.00,0.00,0.81,0.19,26.00,35.00,58691.94,52744.00,24380.00,39802.00,45619.00,50453.00,53387.00,57193.00,62878.00,74044.00,97299.00,166124.00,1421644.59,124.00,1211018.39,1206918.29,1231863.88,1419099.47,1406310.75,0.15,0.15,0.13,0.00,0.01,0.47,0.52,0.57,0.61,0.73,167922.95,248183.95,221756.00,172395.00,92071.00,62420.57,93035.33,143004.33,263874.00,281565.00,0.00,24196.00,31791.00,29618.00,0.00,0.14,0.15,0.14,0.11,0.15,44.00,-0.03,0.15,197051.00,269245.47
00105000,TUSKEGEE UNIVERSITY,0.5,Less Risk,Y,C,PNP 4 Yrs or More,2.00,0.33,0.25,0.40,0.60,3855.00,0.94,35352.00,0.42,0.74,0.26,22.00,26.00,38507.35,24945.00,6465.00,10250.00,14684.00,19625.00,24956.00,31954.00,42503.00,56152.00,99916.00,245961.00,13653364.29,946.00,11455187.62,11619673.28,11871820.03,12982369.25,13273788.61,0.16,0.15,0.13,0.05,0.03,0.36,0.35,0.39,0.40,0.49,1315552.97,1190151.78,1095441.85,908161.83,460829.00,1465693.60,1614107.63,1780475.64,2588776.11,2853738.08,2625.00,27575.85,0.00,1408.48,14601.00,0.06,0.08,0.08,0.09,0.10,441.00,0.00,0.16,1937729.75,2560308.69
00105100,UNIVERSITY OF ALABAMA,0.375,Less Risk,Y,C,Public 4 Yrs or More,5.00,0.63,0.53,0.49,0.51,12034.00,0.74,63688.00,0.22,0.53,0.47,23.00,28.00,33951.90,23463.50,5426.00,10083.00,14447.00,18542.00,23466.00,30540.00,40191.00,52970.00,73414.00,295407.00,66292217.00,3932.00,55146718.34,56627552.15,58519352.07,58719970.54,60638490.31,0.17,0.15,0.12,0.11,0.09,0.19,0.23,0.37,0.21,0.21,4269667.42,4728450.58,3829696.26,2928096.25,2159678.80,4269783.22,5466238.53,6051576.86,5761290.31,5835861.70,223824.23,77563.00,60071.00,40030.00,139520.00,0.10,0.15,0.15,0.14,0.14,2461.00,0.07,0.19,8590429.87,11565742.64
